query,true_song,noise_level,predicted,ncd_value,compressor,correct,processing_time,top_5_matches
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.0,DRAKE - NOKIA (Official Music Video).freqs,0.996836769693967,gzip,True,0.4925377368927002,"['DRAKE - NOKIA (Official Music Video).freqs', 'DRAKE - FAMILY MATTERS.freqs', 'Eminem - Houdini [Official Music Video].freqs', 'BigXthaPlug - All The Way feat. Bailey Zimmerman (Official Music Video).freqs', 'Quavo, Lil Baby - Legends.freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.02,DRAKE - NOKIA (Official Music Video).freqs,0.9964175464003964,gzip,True,2.4538159370422363,"['DRAKE - NOKIA (Official Music Video).freqs', 'DRAKE - FAMILY MATTERS.freqs', 'Eminem - Houdini [Official Music Video].freqs', 'BigXthaPlug - All The Way feat. Bailey Zimmerman (Official Music Video).freqs', 'Quavo, Lil Baby - Legends.freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.05,DRAKE - NOKIA (Official Music Video).freqs,0.9964556576089028,gzip,True,0.33423924446105957,"['DRAKE - NOKIA (Official Music Video).freqs', 'DRAKE - FAMILY MATTERS.freqs', 'Eminem - Houdini [Official Music Video].freqs', 'BigXthaPlug - All The Way feat. Bailey Zimmerman (Official Music Video).freqs', 'Quavo, Lil Baby - Legends.freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.1,DRAKE - NOKIA (Official Music Video).freqs,0.9962269903578642,gzip,True,0.314969539642334,"['DRAKE - NOKIA (Official Music Video).freqs', 'DRAKE - FAMILY MATTERS.freqs', 'Eminem - Houdini [Official Music Video].freqs', 'BigXthaPlug - All The Way feat. Bailey Zimmerman (Official Music Video).freqs', 'Quavo, Lil Baby - Legends.freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.0,DRAKE - NOKIA (Official Music Video).freqs,0.9872145120751831,bzip2,True,0.21773457527160645,"['DRAKE - NOKIA (Official Music Video).freqs', 'DRAKE - FAMILY MATTERS.freqs', 'Travis Scott - FE!N ft. Playboi Carti.freqs', 'Young Thug - Money On Money (feat. Future) [Official Video].freqs', 'Hanumankind, Kalmi - Hanumankind Big Dawgs Prod. Kalmi (Official Music Video) Def Jam India.freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.02,DRAKE - NOKIA (Official Music Video).freqs,0.9871052344006119,bzip2,True,0.3746678829193115,"['DRAKE - NOKIA (Official Music Video).freqs', 'DRAKE - FAMILY MATTERS.freqs', 'Eminem - Houdini [Official Music Video].freqs', 'Young Thug - Money On Money (feat. Future) [Official Video].freqs', 'Lil Tecca - Dark Thoughts (Official Video).freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.05,DRAKE - NOKIA (Official Music Video).freqs,0.9869595308345172,bzip2,True,0.42784833908081055,"['DRAKE - NOKIA (Official Music Video).freqs', 'DRAKE - FAMILY MATTERS.freqs', 'Eminem - Houdini [Official Music Video].freqs', 'Young Thug - Money On Money (feat. Future) [Official Video].freqs', 'BigXthaPlug - All The Way feat. Bailey Zimmerman (Official Music Video).freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.1,DRAKE - NOKIA (Official Music Video).freqs,0.9862310130040433,bzip2,True,0.48950767517089844,"['DRAKE - NOKIA (Official Music Video).freqs', 'DRAKE - FAMILY MATTERS.freqs', 'Eminem - Houdini [Official Music Video].freqs', 'Young Thug - Money On Money (feat. Future) [Official Video].freqs', 'Hanumankind, Kalmi - Hanumankind Big Dawgs Prod. Kalmi (Official Music Video) Def Jam India.freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.0,Playboi Carti - EVIL J0RDAN (Official Music Video).freqs,0.9641076769690927,lzma,False,0.5594446659088135,"['Playboi Carti - EVIL J0RDAN (Official Music Video).freqs', 'DRAKE - NOKIA (Official Music Video).freqs', 'Lil Tecca - OWA OWA (Official Video).freqs', 'BigXthaPlug - Change Me (Official Music Video).freqs', 'Travis Scott - FE!N ft. Playboi Carti.freqs']"
DRAKE - NOKIA (Official Music Video)_segment_01,DRAKE - NOKIA (Official Music Video),0.02,Playboi Carti - EVIL J0RDAN (Official Music Video).freqs,0.9601196410767697,lzma,False,0.7741208076477051,"['Playboi Carti - EVIL J0RDAN (Official Music Video).freqs', 'DRAKE - NOKIA (Official Music Video).freqs', 'Lil Tecca - OWA OWA (Official Video).freqs', 'BigXthaPlug - Change Me (Official Music Video).freqs', 'Lil Tecca - Dark Thoughts (Official Video).freqs']"
